,,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Household & Furniture,Manufacturing Release,16.4050235486,17.225274726,17.9142857143,17.9142857143,20.2714285714,21.6857142857,23.5714285714,26.4,27.3428571429,26.4,28.2857142857,31.1142857143,33.0,35.8285714286,38.1857142857,39.6,41.4857142857,43.56,45.738,48.0249,50.426145
Household & Furniture,In Use,80.384615388,446.134615403,648.462692331,763.131346166,832.015673083,919.587836541,1000.33391827,1091.52695914,1197.18347957,1263.87173978,1207.73255559,1306.71411208,1220.74192472,1221.90680464,1269.51658103,1351.06334813,1397.64117065,1446.13243005,1507.8503203,1567.20808734,1667.97545465
Household & Furniture,End of Life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.569824236,421.648315447,438.514248047,438.514248047,496.213491211,530.833037109,576.992431641,646.231523438,669.311220703,646.231523438
Household & Furniture,Production,803.84615388,844.038461574,877.8,877.8,993.3,1062.6,1155.0,1293.6,1339.8,1293.6,1386.0,1524.6,1617.0,1755.6,1871.1,1940.4,2032.8,2134.44,2241.162,2353.2201,2470.881105
Household & Furniture,Stock,723.461538492,1121.36538466,1350.70269233,1465.37134617,1626.65567308,1769.66783654,1924.33391827,2126.40695914,2269.02347957,2298.75173978,2477.0191842,2293.33524789,2267.94500771,2363.12395503,2526.19312595,2619.31628661,2723.64207885,2834.95721716,2922.03737342,3038.73816538,3195.4122923
Automotive,Manufacturing Release,7.03072437796,7.38226059686,7.67755102041,7.67755102041,8.68775510204,9.29387755102,10.1020408163,11.3142857143,11.7183673469,11.3142857143,12.1224489796,13.3346938776,14.1428571429,15.3551020408,16.3653061224,16.9714285714,17.7795918367,18.6685714286,19.602,20.5821,21.611205
Automotive,In Use,34.450549452,191.200549459,277.912582428,327.056291214,356.578145607,394.109072803,428.714536402,467.797268201,478.870315074,522.844741586,541.145621395,573.512810698,612.501210036,655.741487831,705.088587665,750.566059458,791.521399115,836.264006533,874.680270611,915.029026001,961.19854799
Automotive,End of Life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68198704993,2.81608640242,2.9287298584,2.9287298584,3.31408905029,3.54530456543
Automotive,Production,344.50549452,361.730769246,376.2,376.2,425.7,455.4,495.0,554.4,574.2,554.4,594.0,653.4,693.0,752.4,801.9,831.6,871.2,914.76,960.498,1008.5229,1058.949045
Automotive,Stock,310.054945068,480.585164855,578.872582428,628.016291214,697.138145607,758.429072803,824.714536402,911.317268201,1006.64695313,1038.20221154,1091.05659015,1170.94377945,1251.44256941,1348.10108158,1444.91249392,1523.26444741,1600.12696189,1675.6942255,1758.58322503,1848.76300998,1942.96820242
Medical,Manufacturing Release,15.2332361522,15.9948979599,16.6346938776,16.6346938776,18.8234693878,20.1367346939,21.887755102,24.5142857143,25.3897959184,24.5142857143,26.2653061224,28.8918367347,30.6428571429,33.2693877551,35.4581632653,36.7714285714,38.5224489796,40.4485714286,42.471,44.59455,46.8242775
Medical,In Use,74.642857146,414.26785716,602.143928593,708.621964297,772.585982148,853.902991074,928.881495537,1013.56074777,1111.67037388,1173.59518694,1195.97759347,1254.35879674,1343.60939837,1435.42469918,1543.53734959,1646.9286748,1732.9443374,1819.7101687,1910.75242169,2006.31841505,2106.64854885
Medical,End of Life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00512531825496,0.00538158416771,0.00559684753418,0.00559684753418
Medical,Production,746.42857146,783.750000033,815.1,815.1,922.35,986.7,1072.5,1201.2,1244.1,1201.2,1287.0,1415.7,1501.5,1630.2,1737.45,1801.8,1887.6,1981.98,2081.079,2185.13295,2294.3895975
Medical,Stock,671.785714314,1041.26785719,1254.22392859,1360.7019643,1510.46598215,1643.26299107,1786.88149554,1974.52074777,2106.95037388,2134.55518694,2225.57759347,2386.91879674,2544.80939837,2739.58469918,2933.49734959,3088.3686748,3243.0243374,3405.28904338,3575.61024011,3754.41917821,3942.15463001
Other Industries,Manufacturing Release,11.7178739633,12.3037676614,12.7959183673,12.7959183673,14.4795918367,15.4897959184,16.8367346939,18.8571428571,19.5306122449,18.8571428571,20.2040816327,22.2244897959,23.5714285714,25.5918367347,27.2755102041,28.2857142857,29.6326530612,31.1142857143,32.67,34.3035,36.018675
Other Industries,In Use,57.41758242,318.667582431,431.607967049,527.725000008,566.486703301,642.053379123,696.702739013,767.771925825,840.864882968,888.557054121,907.558113544,956.950007115,1023.80486686,1093.81785413,1175.78887905,1252.48607118,1318.42301915,1385.77310694,1455.72704778,1529.52957495,1606.30474301
Other Industries,End of Life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Industries,Production,574.1758242,602.88461541,627.0,627.0,709.5,759.0,825.0,924.0,957.0,924.0,990.0,1089.0,1155.0,1254.0,1336.5,1386.0,1452.0,1524.6,1600.83,1680.8715,1764.915075
Other Industries,Stock,516.75824178,800.975274759,996.367307711,1095.6423077,1238.6556044,1355.60222528,1483.89948627,1640.12756044,1756.26267747,1791.70562335,1874.14750981,2006.19750269,2137.39263584,2297.57478171,2458.28590266,2591.79983148,2725.37681232,2864.20370538,3009.3066576,3160.64858265,3319.25891464
