,,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Household & Furniture,Manufacturing Release,15.1891377857,15.7967032971,16.4285714286,17.1428571429,17.7142857143,18.2857142857,19.1428571429,20.2857142857,21.4285714286,22.2857142857,22.8571428571,23.5714285714,24.2857142857,25.2857142857,26.2857142857,27.4285714286,29.4285714286,30.3114285714,31.2207714286,32.1573945714,33.1221164
Household & Furniture,In Use,0.0,40.190458581,79.5771079904,118.271322845,156.516416214,193.89530806,230.295430737,266.217849749,301.957442348,338.303627222,371.074282352,399.112776509,423.175675172,444.214883515,464.170158571,484.029006768,504.811095292,529.633724294,555.33577976,582.101188094,609.964913491
Household & Furniture,End of Life,0.0,0.0,0.0193111042267,0.310454334735,1.70205301536,5.83598065784,15.1975857233,32.7222736064,60.6868862059,122.669426775,194.942146789,265.764649914,324.477447846,366.484652201,393.557778329,410.473307182,421.717964456,422.869809427,420.819430743,418.597282867,419.29587126
Household & Furniture,Production,744.2677515,774.03846156,805.0,840.0,868.0,896.0,938.0,994.0,1050.0,1092.0,1120.0,1155.0,1190.0,1239.0,1288.0,1344.0,1442.0,1485.26,1529.8178,1575.712334,1622.9837036
Household & Furniture,Stock,669.84097635,1326.28513317,1971.18871408,2608.6069369,3231.58846767,3838.25717895,4436.96416249,5032.62403914,5638.39378703,6184.57137254,6651.87960848,7052.92791954,7403.58139192,7736.16930951,8067.1501128,8413.51825487,8827.22873823,9255.59632934,9701.68646823,10166.0818915,10645.9142195
Automotive,Manufacturing Release,6.50963047959,6.77001569878,7.04081632653,7.34693877551,7.59183673469,7.83673469388,8.20408163265,8.69387755102,9.18367346939,9.55102040816,9.79591836735,10.1020408163,10.4081632653,10.8367346939,11.2653061224,11.7551020408,12.612244898,12.9906122449,13.3803306122,13.7817405306,14.1951927429
Automotive,In Use,0.0,17.224482249,34.104474853,50.6880726201,67.0846378234,83.1357564881,98.8429734892,114.513422537,130.410938258,147.034864365,163.124214188,178.166525263,192.171543402,205.027179602,217.055755204,228.366102237,239.320944477,251.462084085,262.900399159,274.078587175,285.330372579
Automotive,End of Life,0.0,0.0,0.00222902855333,0.035840658101,0.196717765121,0.677293494655,1.78287572069,3.92798210319,7.59947767502,16.4881903361,29.068641715,45.2883740736,64.3187838748,84.5265532595,103.937047222,120.909904616,134.590707518,151.651869313,162.357971825,168.40422826,171.626158739
Automotive,Production,318.9718935,331.73076924,345.0,360.0,372.0,384.0,402.0,426.0,450.0,468.0,480.0,495.0,510.0,531.0,552.0,576.0,618.0,636.54,655.6362,675.305286,695.5644444
Automotive,Stock,287.07470415,568.407914217,844.801210335,1118.07729706,1385.59594147,1647.38289149,1908.55704228,2173.51563764,2450.58107274,2718.73690313,2969.44208771,3202.85905671,3417.11966004,3617.59592007,3806.10170395,3988.68240795,4191.03473476,4381.67331931,4567.97645292,4755.50620965,4947.48937077
Medical,Manufacturing Release,14.1041993724,14.6683673473,15.2551020408,15.9183673469,16.4489795918,16.9795918367,17.7755102041,18.8367346939,19.8979591837,20.693877551,21.2244897959,21.887755102,22.5510204082,23.4795918367,24.4081632653,25.4693877551,27.3265306122,28.1463265306,28.9907163265,29.8604378163,30.7562509429
Medical,In Use,0.0,37.3197115395,73.8930288482,109.824305434,145.3525689,180.142907751,214.219238469,248.286411604,282.979684394,318.16020766,352.957657202,386.517721155,419.063964079,450.449110168,481.25933955,511.398458305,541.20656067,572.844283207,603.561860567,633.622916903,663.281805418
Medical,End of Life,0.0,0.0,0.00236139473165,0.0379701286117,0.208450248306,0.718246951872,1.89454261214,4.19237522568,8.17826118097,14.482299964,23.7079435843,36.2948967852,52.3502677585,71.4970668022,92.8220145357,114.999835605,136.598063722,156.44909412,173.911123836,188.907582211,201.77956619
Medical,Production,691.10576925,718.75000002,747.5,780.0,806.0,832.0,871.0,923.0,975.0,1014.0,1040.0,1072.5,1105.0,1150.5,1196.0,1248.0,1339.0,1379.17,1420.5451,1463.161453,1507.0562962
Medical,Stock,621.995192325,1231.5504808,1830.40509056,2422.542815,3002.38179585,3570.32064115,4138.10686007,4716.32807324,5302.67012766,5882.62762004,6441.96201925,6984.39940131,7507.48516947,8020.9889925,8523.30763842,9020.10934451,9547.40472011,10059.3643428,10560.3819484,11054.696757,11545.9860519
Other Industries,Manufacturing Release,10.8493841327,11.283359498,11.7346938776,12.2448979592,12.6530612245,13.0612244898,13.6734693878,14.4897959184,15.306122449,15.9183673469,16.3265306122,16.8367346939,17.3469387755,18.0612244898,18.7755102041,19.5918367347,21.0204081633,21.6510204082,22.3005510204,22.969567551,23.6586545714
Other Industries,In Use,0.0,28.707470415,56.8407914217,84.6525628956,112.152101446,139.401979107,166.110827815,193.122489296,220.671739755,248.95336249,277.098445451,304.749849413,331.899447692,358.68513209,385.320722497,411.859340279,438.198412041,465.98005032,492.637497166,518.328393758,542.863443145
Other Industries,End of Life,0.0,0.0,0.000431054158557,0.00737152601733,0.0405870744426,0.15295126825,0.412090341864,0.983143267193,1.9797263485,3.77573518142,6.46885312409,10.7617119453,16.5751026165,25.0418983537,35.6012855574,49.8168344559,66.2192463886,86.6412738409,108.379173142,133.280719141,157.625399869
Other Industries,Production,531.6198225,552.8846154,575.0,600.0,620.0,640.0,670.0,710.0,750.0,780.0,800.0,825.0,850.0,885.0,920.0,960.0,1030.0,1060.9,1092.727,1125.50881,1159.274074
