,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Packaging,In Use,0,18.6032967,37.02056044,53.47194221,57.0395726,62.291936,68.3310206,75.90539473,84.39376719,92.21827994,96.8530503,101.2035107,107.8961559,116.8093224,126.7606806,136.5489512,145.692782,154.1401857,162.574102,171.748078,181.3893944
Packaging,End of Life,0,0,27.36974342,225.6475513,238.5510373,246.916654,250.9294106,281.5817309,301.977687,329.4955473,365.2392757,375.3124039,367.2510679,394.4947081,431.8114764,459.4938687,497.5971571,528.5785414,548.9744977,575.233926,603.9846535
Packaging,Production,344.5054945,361.7307692,376.2,376.2,425.7,455.4,495,554.4,574.2,554.4,594,653.4,693,752.4,801.9,831.6,871.2,914.76,960.498,1008.5229,1058.949045
Packaging,Stock,310.0549451,617.0093407,891.1990368,950.6595433,1038.198933,1138.850343,1265.089912,1406.562787,1536.971332,1614.217505,1686.725179,1798.269264,1946.822041,2112.67801,2275.815853,2428.213033,2569.003094,2709.568367,2862.467967,3023.156573,3190.836666
Electronics,Manufacturing Release,7.030724378,7.382260597,7.67755102,7.67755102,8.687755102,9.293877551,10.10204082,11.31428571,11.71836735,11.31428571,12.12244898,13.33469388,14.14285714,15.35510204,16.36530612,16.97142857,17.77959184,18.66857143,19.602,20.5821,21.611205
Electronics,In Use,0,18.6032967,37.02056044,55.09696799,71.83179729,89.07501549,104.1572438,117.1998422,130.8576606,144.0797497,154.8322926,166.2145841,179.1207663,192.3520211,207.1444702,223.2254353,239.4481609,255.9104193,272.5052932,289.2791795,306.3692422
Electronics,End of Life,0,0,0.285980344,4.569210336,23.91123276,69.41451249,123.9661172,154.1298511,165.5541873,175.6712021,190.0628481,206.7423793,224.0583209,238.2671607,246.549445,254.8358044,270.2608652,290.7923504,312.3781339,333.557052,352.4842002
Electronics,Production,344.5054945,361.7307692,376.2,376.2,425.7,455.4,495,554.4,574.2,554.4,594,653.4,693,752.4,801.9,831.6,871.2,914.76,960.498,1008.5229,1058.949045
Electronics,Stock,310.0549451,617.0093407,918.2827999,1197.196622,1484.583592,1735.954064,1953.330703,2180.961009,2401.329161,2580.53821,2770.243069,2985.346106,3205.867018,3452.407837,3720.423921,3990.802682,4265.173656,4541.754886,4821.319659,5106.154037,5400.354735
Construction & Building,Manufacturing Release,52.73043283,55.36695448,57.58163265,57.58163265,65.15816327,69.70408163,75.76530612,84.85714286,87.8877551,84.85714286,90.91836735,100.0102041,106.0714286,115.1632653,122.7397959,127.2857143,133.3469388,140.0142857,147.015,154.36575,162.0840375
Construction & Building,In Use,0,139.5247253,277.6542033,413.3559506,540.9155852,680.8691044,824.4538002,975.4611547,1141.464558,1305.525858,1451.723023,1611.141893,1785.344933,1965.376137,2158.651773,2361.220416,2564.15886,2771.620822,2985.275518,3204.942153,3430.494307
Construction & Building,End of Life,0,0,8.62E-06,0.00013872,0.000762618,0.002632096,0.0069579,0.015464763,0.030432384,0.054722773,0.091801404,0.184905954,0.316227157,0.494479438,0.727665195,1.03103449,1.414436607,1.890957667,2.475683211,3.178237749,4.007080881
Construction & Building,Production,2583.791209,2712.980769,2821.5,2821.5,3192.75,3415.5,3712.5,4158,4306.5,4158,4455,4900.5,5197.5,5643,6014.25,6237,6534,6860.7,7203.735,7563.92175,7942.117838
Construction & Building,Stock,2325.412088,4627.570055,6889.265843,9015.259754,11347.81841,13740.89667,16257.68591,19024.40929,21758.7643,24195.38372,26852.36489,29755.74888,32756.26894,35977.52955,39353.6736,42735.981,46193.68036,49754.59196,53415.70255,57174.90512,61125.19326
