,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Electronics,Manufacturing Release,6.50963048,6.770015699,7.040816327,7.346938776,7.591836735,7.836734694,8.204081633,8.693877551,9.183673469,9.551020408,9.795918367,10.10204082,10.40816327,10.83673469,11.26530612,11.75510204,12.6122449,12.99061224,13.38033061,13.78174053,14.19519274
Electronics,In Use,0,143.5373521,221.0475222,265.7363029,294.5317738,313.6076114,327.6284605,342.1191564,359.920691,379.4979013,397.275157,411.4381986,425.1162984,438.531753,454.5216699,471.8228952,491.1487352,519.5858416,542.0057285,561.6448956,580.1205264
Electronics,End of Life,0,0,0.074916374,0.672755335,2.116550924,3.9506905,5.19014772,5.67777436,5.924888466,6.147587201,6.398759852,6.705601861,7.052792438,7.388413151,7.675879439,7.925424908,8.177051883,8.460384736,8.788517293,9.178600219,9.626743641
Electronics,Production,318.9718935,331.7307692,345,360,372,384,402,426,450,468,480,495,510,531,552,576,618,636.54,655.6362,675.305286,695.5644444
Electronics,Stock,287.0747042,442.0950444,531.4726058,589.0635476,627.2152229,655.2569209,684.2383127,719.841382,758.9958025,794.5503141,822.8763972,850.2325967,877.0635059,909.0433398,943.6457905,982.2974703,1039.171683,1084.011457,1123.289791,1160.241053,1196.501783
Construction & Building,Manufacturing Release,48.8222286,50.77511774,52.80612245,55.10204082,56.93877551,58.7755102,61.53061224,65.20408163,68.87755102,71.63265306,73.46938776,75.76530612,78.06122449,81.2755102,84.48979592,88.16326531,94.59183673,97.42959184,100.3524796,103.363054,106.4639456
Construction & Building,In Use,0,1076.530141,1657.856416,1993.303207,2211.651593,2361.325763,2476.662811,2595.081287,2735.290475,2886.39502,3022.697248,3238.791061,3401.738103,3538.288813,3682.47848,3829.480142,3988.015234,4215.089804,4399.27841,4563.901259,4718.653656
Construction & Building,End of Life,0,0,2.26E-06,2.04E-05,6.70E-05,0.000141928,0.000235879,0.000336799,0.000434781,0.000524022,0.000602766,0.045750177,0.08060917,0.107206411,0.127728421,0.143385699,0.155605733,0.166320267,0.17693481,0.187588377,0.197484234
Construction & Building,Production,2392.289201,2487.980769,2587.5,2700,2790,2880,3015,3195,3375,3510,3600,3712.5,3825,3982.5,4140,4320,4635,4774.05,4917.2715,5064.789645,5216.733333
Construction & Building,Stock,2153.060281,3315.712833,3986.606414,4423.303187,4722.651526,4953.325621,5190.162575,5470.580951,5772.790041,6045.394496,6477.582122,6803.476206,7076.577625,7364.956961,7658.960285,7976.030468,8430.179608,8798.55682,9127.802518,9437.307312,9758.736239
