,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Household & Furniture,Manufacturing Release,16.40502355,17.22527473,17.91428571,17.91428571,20.27142857,21.68571429,23.57142857,26.4,27.34285714,26.4,28.28571429,31.11428571,33,35.82857143,38.18571429,39.6,41.48571429,43.56,45.738,48.0249,50.426145
Household & Furniture,In Use,0,361.7307692,560.6826923,675.3483956,732.6575007,813.2261279,884.5979786,961.7446652,1062.564814,1169.521687,1184.552186,1222.457848,1296.528216,1377.138479,1479.003312,1582.393126,1667.362597,1747.958847,1844.752418,1955.588199,2071.601269
Household & Furniture,End of Life,0,0,0.00590113,0.053394133,0.175245031,0.370170556,0.608648151,0.855037031,1.08177158,39.98466438,65.37693148,79.88185889,86.19965272,94.00502241,101.2865894,109.4770062,120.4603605,94.81844698,74.233393,66.26486721,69.9778133
Household & Furniture,Production,803.8461539,844.0384616,877.8,877.8,993.3,1062.6,1155,1293.6,1339.8,1293.6,1386,1524.6,1617,1755.6,1871.1,1940.4,2032.8,2134.44,2241.162,2353.2201,2470.881105
Household & Furniture,Stock,723.4615385,1121.365385,1350.696791,1465.315001,1626.452256,1769.195957,1923.489331,2125.129628,2339.043375,2369.104372,2444.915697,2593.056432,2754.276959,2958.006624,3164.786253,3334.725193,3495.917693,3689.504836,3911.176398,4143.202538,4369.632895
Automotive,Manufacturing Release,7.030724378,7.382260597,7.67755102,7.67755102,8.687755102,9.293877551,10.10204082,11.31428571,11.71836735,11.31428571,12.12244898,13.33469388,14.14285714,15.35510204,16.36530612,16.97142857,17.77959184,18.66857143,19.602,20.5821,21.611205
Automotive,In Use,0,155.0274725,240.2925824,289.4359506,314.0048933,348.5573214,379.1872069,412.3080779,455.5834868,501.4958034,513.6844576,536.1716455,572.6323409,609.9521939,655.7665131,701.951225,740.2912071,778.1870358,810.7555764,848.5668444,891.6898199
Automotive,End of Life,0,0,0.000681151,0.006164076,0.020250519,0.042907605,0.071051054,0.101104296,0.130411647,5.383346373,9.529483203,12.55528016,14.43578495,16.2387088,17.76921648,19.30738253,21.19227368,31.48365298,33.21047782,33.30162315,33.58932526
Automotive,Production,344.5054945,361.7307692,376.2,376.2,425.7,455.4,495,554.4,574.2,554.4,594,653.4,693,752.4,801.9,831.6,871.2,914.76,960.498,1008.5229,1058.949045
Automotive,Stock,310.0549451,480.5851649,578.8719013,628.0097866,697.1146428,758.3744138,824.6161558,911.1669736,1002.991607,1027.368915,1072.343291,1145.264682,1219.904388,1311.533026,1403.90245,1480.582414,1556.374072,1621.511153,1697.133689,1783.37964,1875.411188
Medical,Manufacturing Release,15.23323615,15.99489796,16.63469388,16.63469388,18.82346939,20.13673469,21.8877551,24.51428571,25.38979592,24.51428571,26.26530612,28.89183673,30.64285714,33.26938776,35.45816327,36.77142857,38.52244898,40.44857143,42.471,44.59455,46.8242775
Medical,In Use,0,335.8928572,520.6339286,627.1116035,680.3475366,755.2205395,821.602524,893.3885464,987.1804716,1053.36557,1067.138168,1112.620525,1193.263738,1272.183599,1369.548123,1466.483445,1543.899515,1621.208183,1702.323447,1787.464795,1876.848339
Medical,End of Life,0,0,0.0007216,0.006530303,0.021457539,0.045491607,0.075431122,0.107603257,0.139331438,0.16923391,0.197117687,0.223048951,0.246540582,0.267353543,0.286231774,0.304415106,0.323149132,0.343289501,0.364957098,0.38777123,0.411292311
Medical,Production,746.4285715,783.75,815.1,815.1,922.35,986.7,1072.5,1201.2,1244.1,1201.2,1287,1415.7,1501.5,1630.2,1737.45,1801.8,1887.6,1981.98,2081.079,2185.13295,2294.389598
