,,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Household & Furniture,Manufacturing Release,33.2939828571,36.6233742857,40.2857142857,43.7142857143,48.0,52.2857142857,58.2857142857,62.5714285714,66.8571428571,68.5714285714,70.9714285714,71.5714285714,72.8571428571,74.5714285714,76.2857142857,80.1428571429,85.7142857143,90.0,93.6,96.408,99.30024
Household & Furniture,In Use,0.0,88.09587864,179.715574282,275.526100075,374.621551476,478.925791029,587.754454581,704.65132435,823.447119409,942.511515469,1053.44019521,1157.38758827,1249.71465142,1333.45513779,1411.13690279,1483.90378638,1558.23865992,1638.92223535,1722.50260787,1807.41917736,1891.98999172
Household & Furniture,End of Life,0.0,0.0,0.0423291685247,0.683043233062,3.77445596917,13.0631497773,34.3643826019,74.8187579929,140.546279594,232.677155568,343.943253728,460.128025854,567.610575874,660.448778855,740.281704081,811.481654615,877.0350829,937.071555869,989.981234045,1034.66004998,1071.91511553
Household & Furniture,Production,1631.40516,1794.54534,1974.0,2142.0,2352.0,2562.0,2856.0,3066.0,3276.0,3360.0,3477.6,3507.0,3570.0,3654.0,3738.0,3927.0,4200.0,4410.0,4586.4,4723.992,4865.71176
Household & Furniture,Stock,1468.264644,2995.25957136,4592.10166791,6243.6925246,7982.09651716,9795.90757635,11744.1887392,13724.1186568,15708.5252578,17557.3365868,19289.7931378,20828.5775237,22224.2522964,23518.9483798,24731.7297729,25970.6443319,27315.3705891,28708.3767979,30123.652956,31533.1665286,32948.4020054
Automotive,Manufacturing Release,14.2688497959,15.6957318367,17.2653061224,18.7346938776,20.5714285714,22.4081632653,24.9795918367,26.8163265306,28.6530612245,29.387755102,30.4163265306,30.6734693878,31.2244897959,31.9591836735,32.693877551,34.3469387755,36.7346938776,38.5714285714,40.1142857143,41.3177142857,42.5572457143
Automotive,In Use,0.0,37.75537656,77.0209604064,118.083409626,160.565673781,205.337559338,252.218351456,302.939454731,355.180809053,408.632926349,460.013702202,509.872724106,555.89038456,598.750539959,638.914771575,676.478013185,714.095368392,753.863485279,794.383312576,835.017012515,875.028691457
Automotive,End of Life,0.0,0.0,0.00488594148592,0.0788544453492,0.436233611235,1.51590536337,4.02992729223,8.97130656302,17.5505693507,31.0208094341,50.3625993919,75.8662683319,106.77369212,141.245599783,176.831201589,211.266066692,243.102683498,271.806059771,297.428355105,320.232871783,340.486893564
Automotive,Production,699.17364,769.09086,846.0,918.0,1008.0,1098.0,1224.0,1314.0,1404.0,1440.0,1490.4,1503.0,1530.0,1566.0,1602.0,1683.0,1800.0,1890.0,1965.6,2024.568,2085.30504
Automotive,Stock,629.256276,1283.68267344,1968.05682709,2676.09456302,3422.29265563,4203.63919093,5048.99091218,5919.68015089,6810.54877248,7666.8950367,8497.87873511,9264.83974267,9979.17566599,10648.5795262,11274.6335531,11901.5894732,12564.3914213,13239.7218763,13916.9502086,14583.8115243,15245.0704753
Medical,Manufacturing Release,30.9158412245,34.0074189796,37.4081632653,40.5918367347,44.5714285714,48.5510204082,54.1224489796,58.1020408163,62.0816326531,63.6734693878,65.9020408163,66.4591836735,67.6530612245,69.2448979592,70.8367346939,74.4183673469,79.5918367347,83.5714285714,86.9142857143,89.5217142857,92.2073657143
Medical,In Use,0.0,81.80331588,166.878747547,255.847712129,347.897837028,444.932231809,546.605845528,656.760572306,770.51854738,887.422797586,1000.62851656,1111.60472164,1215.54106497,1313.9792575,1407.75622586,1496.70103671,1586.07940137,1679.98136548,1775.06025663,1869.77560621,1962.49079498
Medical,End of Life,0.0,0.0,0.0051760828576,0.083539568008,0.462249956626,1.60753954072,4.28204149412,9.5731764659,18.8772825226,33.8152195041,56.0480654044,86.9728895912,127.322392762,176.771269964,233.730259869,295.509552276,358.887863574,420.870448618,479.270583707,532.878847654,581.284680868
Medical,Production,1514.87622,1666.36353,1833.0,1989.0,2184.0,2379.0,2652.0,2847.0,3042.0,3120.0,3229.2,3256.5,3315.0,3393.0,3471.0,3646.5,3900.0,4095.0,4258.8,4386.564,4518.16092
Medical,Stock,1363.388598,2781.31245912,4264.12853549,5798.29728379,7415.53719681,9110.09742546,10946.0095384,12841.9757897,14790.3799598,16677.1419427,18526.7453607,20259.0177495,21899.6542917,23462.6037643,24945.0172785,26434.6566896,27999.6894246,29584.3376105,31162.9267702,32708.1799163,34230.7492685
Other Industries,Manufacturing Release,23.7814163265,26.1595530612,28.7755102041,31.2244897959,34.2857142857,37.3469387755,41.6326530612,44.693877551,47.7551020408,48.9795918367,50.693877551,51.1224489796,52.0408163265,53.2653061224,54.4897959184,57.2448979592,61.2244897959,64.2857142857,66.8571428571,68.8628571429,70.9287428571
Other Industries,In Use,0.0,62.9256276,128.368267344,196.806114612,267.616832746,342.274759082,420.540653986,505.421212846,593.250532045,683.806426676,771.999766976,859.178827656,941.886295155,1021.54249616,1098.97009685,1174.11056091,1250.94535962,1332.40554689,1415.58943527,1498.93194207,1580.80293768
Other Industries,End of Life,0.0,0.0,0.00094485348464,0.0152498307255,0.084394977388,0.29365918691,0.783365012743,1.75680050592,3.48455744389,6.30456831863,10.6158883653,16.8633806817,25.5103548228,36.9974923259,51.6888353992,69.8094606437,91.3848525895,116.196313325,143.768784873,173.403464277,204.255349794
